participant_id,session_label,session_start_utc,random_seed,mapping_version,sequence_index,total_planned_trials,condition_index,repetition,eye_presentation,angular_diameter_deg,grid_line_spacing_deg,grid_line_spacing_uv,visual_space_l,content_zoom,oomes_endpoint_equivalent,stimulus_duration_s,noise_until_response,response_timeout_s,category_a_key,category_b_key,response_keys_swapped
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,35,105,2,12,BothEyes,60,8,0.24342386624268122,1,1,0,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,36,105,2,8,BothEyes,60,8,0.24342386624268122,1,1,0,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,37,105,4,4,BothEyes,60,8,0.24342386624268122,0.600000024,1,0.79999995231628418,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,38,105,1,3,BothEyes,60,8,0.24342386624268122,1.20000005,1,-0.40000009536743164,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,39,105,7,4,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,40,105,2,9,BothEyes,60,8,0.24342386624268122,1,1,0,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,41,105,3,7,BothEyes,60,8,0.24342386624268122,0.800000012,1,0.39999997615814209,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,42,105,6,6,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,43,105,6,9,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,44,105,6,2,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
